Unnamed: 0,Org_y,solver,geo_weights,challenge_weights,needs_weights,stage_weights
0,Aditya Birla Group,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
1,BMW Foundation Herbert Quandt,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
2,Buenos Aires Innovation Park (City of Buenos Aires Government),AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
3,C L Sandberg & Associates,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
4,Capital One,AIR-INK: Air-Pollution to ink,2,1,4.0,6.0
5,Classroom Inc,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
6,Corning Capital,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
7,Covestro LLC,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
8,DIGITAL CITIZEN FUND,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
9,Danaher,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
10,Draper Richards Kaplan Foundation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
11,Fannie Mae,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
12,Gary Community Investments,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
13,Grupo Salinas,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
14,Heart Institute of the Caribbean,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
15,Henkel,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
16,Henkel (Charles Paul),AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
17,IMPACT2030,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
18,Innovation Norway,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
19,KSF Impact,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
20,Kevin Przybocki,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
21,LLamasoft,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
22,MIT (Ken Zolot),AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
23,MIT Environmental Solutions Initative (John Fernandez),AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
24,MIT Governance Lab (GOV/LAB),AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
25,Mannin Research Inc.,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
26,Maria Cecilia Souto Vidigal Foundation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
27,Miniwiz,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
28,New Orleans Health Department,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
29,Northrop Grumman Corporation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
30,Putnam Associates,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
31,Robert Wood Johnson Foundation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
32,Save the Children,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
33,Schmidt Marine Technology Partners,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
34,Sitra,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
35,Terranova Corporation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
36,The Kroger Co. Zero Hunger Zero Waste Foundation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
37,The Pershing Square Foundation,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
38,Uber,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
39,Yum! Brands,AIR-INK: Air-Pollution to ink,1,1,1.0,1.0
40,Aditya Birla Group,Aira,1,1,1.0,1.0
41,BMW Foundation Herbert Quandt,Aira,1,1,1.0,1.0
42,Buenos Aires Innovation Park (City of Buenos Aires Government),Aira,1,1,1.0,1.0
43,C L Sandberg & Associates,Aira,1,1,1.0,1.0
44,Capital One,Aira,1,1,1.0,1.0
45,Classroom Inc,Aira,1,1,1.0,1.0
46,Corning Capital,Aira,1,1,1.0,1.0
47,Covestro LLC,Aira,1,1,1.0,1.0
48,DIGITAL CITIZEN FUND,Aira,1,1,1.0,1.0
49,Danaher,Aira,1,1,1.0,1.0
50,Draper Richards Kaplan Foundation,Aira,1,1,1.0,1.0
51,Fannie Mae,Aira,1,1,1.0,1.0
52,Gary Community Investments,Aira,1,1,1.0,1.0
53,Grupo Salinas,Aira,1,1,1.0,1.0
54,Heart Institute of the Caribbean,Aira,1,1,1.0,1.0
55,Henkel,Aira,1,1,1.0,1.0
56,Henkel (Charles Paul),Aira,1,1,1.0,1.0
57,IMPACT2030,Aira,1,1,1.0,1.0
58,Innovation Norway,Aira,1,1,1.0,1.0
59,KSF Impact,Aira,1,1,1.0,1.0
60,Kevin Przybocki,Aira,1,1,1.0,1.0
61,LLamasoft,Aira,1,1,1.0,1.0
62,MIT (Ken Zolot),Aira,1,1,1.0,1.0
63,MIT Environmental Solutions Initative (John Fernandez),Aira,1,1,1.0,1.0
64,MIT Governance Lab (GOV/LAB),Aira,1,1,1.0,1.0
65,Mannin Research Inc.,Aira,1,1,1.0,1.0
66,Maria Cecilia Souto Vidigal Foundation,Aira,1,1,1.0,1.0
67,Miniwiz,Aira,1,1,1.0,1.0
68,New Orleans Health Department,Aira,1,1,1.0,1.0
69,Northrop Grumman Corporation,Aira,1,1,1.0,1.0
70,Putnam Associates,Aira,1,1,1.0,1.0
71,Robert Wood Johnson Foundation,Aira,1,1,1.0,1.0
72,Save the Children,Aira,1,1,1.0,1.0
73,Schmidt Marine Technology Partners,Aira,1,1,1.0,1.0
74,Sitra,Aira,1,1,1.0,1.0
75,Terranova Corporation,Aira,1,1,1.0,1.0
76,The Kroger Co. Zero Hunger Zero Waste Foundation,Aira,1,1,1.0,1.0
77,The Pershing Square Foundation,Aira,1,1,1.0,1.0
78,Uber,Aira,1,1,1.0,1.0
79,Yum! Brands,Aira,1,1,1.0,1.0
80,Aditya Birla Group,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
81,BMW Foundation Herbert Quandt,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
82,Buenos Aires Innovation Park (City of Buenos Aires Government),Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
83,C L Sandberg & Associates,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
84,Capital One,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
85,Classroom Inc,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
86,Corning Capital,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
87,Covestro LLC,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
88,DIGITAL CITIZEN FUND,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
89,Danaher,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
90,Draper Richards Kaplan Foundation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
91,Fannie Mae,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
92,Gary Community Investments,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
93,Grupo Salinas,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
94,Heart Institute of the Caribbean,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
95,Henkel,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
96,Henkel (Charles Paul),Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
97,IMPACT2030,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
98,Innovation Norway,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
99,KSF Impact,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
100,Kevin Przybocki,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
101,LLamasoft,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
102,MIT (Ken Zolot),Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
103,MIT Environmental Solutions Initative (John Fernandez),Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
104,MIT Governance Lab (GOV/LAB),Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
105,Mannin Research Inc.,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
106,Maria Cecilia Souto Vidigal Foundation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
107,Miniwiz,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
108,New Orleans Health Department,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
109,Northrop Grumman Corporation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
110,Putnam Associates,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
111,Robert Wood Johnson Foundation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
112,Save the Children,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
113,Schmidt Marine Technology Partners,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
114,Sitra,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
115,Terranova Corporation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
116,The Kroger Co. Zero Hunger Zero Waste Foundation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
117,The Pershing Square Foundation,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
118,Uber,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
119,Yum! Brands,Algramo-Catalyzing Reusable Packaging,1,1,1.0,1.0
120,Aditya Birla Group,BioCellection,1,1,1.0,1.0
121,BMW Foundation Herbert Quandt,BioCellection,1,1,1.0,1.0
122,Buenos Aires Innovation Park (City of Buenos Aires Government),BioCellection,1,1,1.0,1.0
123,C L Sandberg & Associates,BioCellection,1,1,1.0,1.0
