"Partners\Solvers","Status","Partner RM","Match Count","AIR-INK: Air-Pollution to ink","Aira","Algramo-Catalyzing Reusable Packaging","Blue Sky Analytics","CareMother","change:WATER Labs' iThrone: a waste-shrinking toilet","Dost Education","EarlyBird","Elpis Solar","Faircap Clean Water","Khushi Baby","Kinedu","Living First Languages Platform","Mobile Village-Based Rehabilitation-Initiative","MycoTech","OmniVis","OneSky Caregiver Training","POKET","Queen of Raw","RAAJI","BioCellection","Renewal Workshop","RETOS","RevelaGov","Rheaply","Salauno: Eye care for all","Shape-Up","Supercivicos app","Tabshoura Tiny Thinkers","The Future is Offline","WheeLog!","Xilinat"
"","","","","4.0","3.0","4.0","4.0","4.0","1.0","1.0","4.0","1.0","2.0","0.0","4.0","0.0","0.0","1.0","3.0","3.0","4.0","2.0","2.0","3.0","3.0","1.0","4.0","7.0","5.0","3.0","2.0","1.0","2.0","1.0","2.0"
"Aditya Birla Group","sent options","Alexander","2.0","","","","","","","","","","","","","","","","","","","Match","","","Match","","","","","","","","","",""
"BMW Foundation Herbert Quandt","Hold","Sharon","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires Innovation Park (City of Buenos Aires Government)","Intros made","Pooja","2.0","","","Match","","","","","","","","","","","","","","","","","","","","","","","Match","","","","","",""
"C L Sandberg & Associates","sent options + reminder","Sharon","1.0","","","","Match","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Capital One","sent options","Sharon","2.0","Match","Match?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Classroom Inc","Hold","Eliza","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Corning Capital","Intro Made","Sharon","1.0","Request - Partner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Covestro LLC","Intros made","Sharon","3.0","Match","","Match","","","","","","","","","","","","","","","","","","","","","","Match","","","","","","",""
"Danaher","Intros made","Pooja","1.0","","","","","","","","","","","","","","","","Match","","","","","","","","","","","","","","","",""
"DIGITAL CITIZEN FUND","Eliza to ask OneSky if they want to connect with Roya","Carlos","1.0","","","","","","","","","","","","","","","","","Match","","","","","","","","","","","","","","",""
