"Partners\Solvers","Partner RM","AIR-INK: Air-Pollution to ink","Aira","Algramo-Catalyzing Reusable Packaging","Blue Sky Analytics","CareMother","change:WATER Labs' iThrone: a waste-shrinking toilet","Dost Education","EarlyBird","Elpis Solar","Faircap Clean Water","Khushi Baby","Kinedu","Living First Languages Platform","Mobile Village-Based Rehabilitation-Initiative","MycoTech","OmniVis","OneSky Caregiver Training","POKET","Queen of Raw","RAAJI","BioCellection","Renewal Workshop","RETOS","RevelaGov","Rheaply","Salauno: Eye care for all","Shape-Up","Supercivicos app","Tabshoura Tiny Thinkers","The Future is Offline","WheeLog!","Xilinat"
"Aditya Birla Group","Alexander","110.0","111.0","11.0","1.0","2.0","2.0","1.0","0.0","12.0","2.0","1.0","200.0","4.0","1.0","12.0","1.0","101.0","12.0","12.0","0.0","12.0","111.0","11.0","13.0","111.0","3.0","1.0","12.0","1.0","12.0","14.0","13.0"
"BMW Foundation Herbert Quandt","Sharon","10.0","110.0","11.0","10.0","11.0","10.0","0.0","0.0","11.0","10.0","0.0","1.0","0.0","0.0","10.0","10.0","0.0","10.0","10.0","10.0","10.0","10.0","11.0","10.0","11.0","10.0","10.0","10.0","0.0","10.0","10.0","11.0"
"Buenos Aires Innovation Park (City of Buenos Aires Government)","Pooja","0.0","0.0","0.0","11.0","11.0","10.0","0.0","1.0","0.0","10.0","1.0","1.0","1.0","1.0","1.0","10.0","0.0","1.0","0.0","10.0","1.0","0.0","1.0","1.0","0.0","11.0","10.0","0.0","0.0","0.0","0.0","0.0"
"C L Sandberg & Associates","Sharon","1.0","0.0","1.0","12.0","12.0","12.0","2.0","0.0","2.0","13.0","1.0","1.0","4.0","2.0","2.0","11.0","2.0","3.0","2.0","11.0","3.0","1.0","2.0","4.0","1.0","13.0","111.0","3.0","1.0","2.0","4.0","3.0"
"Capital One","Sharon","101.0","110.0","1.0","3.0","3.0","2.0","4.0","102.0","12.0","3.0","2.0","102.0","5.0","3.0","3.0","1.0","2.0","16.0","102.0","1.0","103.0","101.0","13.0","14.0","101.0","4.0","101.0","13.0","1.0","13.0","13.0","3.0"
"Classroom Inc","Eliza","100.0","110.0","1.0","2.0","2.0","1.0","1.0","1.0","11.0","2.0","1.0","101.0","3.0","2.0","3.0","1.0","1.0","12.0","1.0","0.0","2.0","101.0","12.0","12.0","101.0","2.0","1.0","12.0","1.0","11.0","12.0","1.0"
"Corning Capital","Sharon","110.0","101.0","10.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","2.0","101.0","3.0","1.0","11.0","0.0","0.0","3.0","11.0","0.0","11.0","110.0","1.0","2.0","110.0","3.0","0.0","0.0","0.0","2.0","1.0","12.0"
"Covestro LLC","Sharon","110.0","100.0","11.0","1.0","1.0","1.0","1.0","0.0","1.0","2.0","0.0","100.0","2.0","1.0","12.0","1.0","1.0","1.0","11.0","0.0","11.0","111.0","1.0","1.0","111.0","1.0","1.0","2.0","1.0","1.0","2.0","11.0"
"Danaher","Pooja","100.0","100.0","1.0","11.0","11.0","111.0","11.0","110.0","100.0","111.0","10.0","110.0","12.0","11.0","1.0","11.0","11.0","101.0","100.0","10.0","100.0","101.0","1.0","1.0","100.0","12.0","110.0","1.0","11.0","1.0","1.0","2.0"
"DIGITAL CITIZEN FUND","Carlos","11.0","0.0","10.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","10.0","0.0","101.0","1.0","11.0","1.0","11.0","10.0","1.0","1.0","10.0","1.0","0.0","1.0","0.0","1.0","1.0","10.0"
"Draper Richards Kaplan Foundation","Pooja","10.0","1.0","11.0","12.0","13.0","12.0","12.0","12.0","102.0","112.0","12.0","11.0","14.0","12.0","13.0","11.0","11.0","105.0","12.0","10.0","12.0","11.0","2.0","4.0","11.0","13.0","11.0","2.0","11.0","2.0","3.0","13.0"
"Fannie Mae","Sharon","101.0","110.0","0.0","11.0","11.0","11.0","12.0","110.0","11.0","11.0","11.0","111.0","12.0","11.0","0.0","10.0","11.0","12.0","101.0","11.0","101.0","100.0","11.0","11.0","100.0","12.0","10.0","11.0","10.0","12.0","11.0","1.0"
"Gary Community Investments","Eliza","100.0","101.0","1.0","1.0","2.0","2.0","11.0","110.0","2.0","2.0","11.0","110.0","14.0","11.0","2.0","1.0","11.0","3.0","102.0","0.0","102.0","101.0","1.0","4.0","101.0","3.0","101.0","2.0","11.0","2.0","4.0","4.0"
"Grupo Salinas","Alexander","10.0","0.0","110.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","101.0","2.0","1.0","12.0","0.0","0.0","2.0","11.0","0.0","12.0","10.0","1.0","1.0","11.0","101.0","1.0","1.0","0.0","1.0","1.0","10.0"
"Heart Institute of the Caribbean","Pooja","0.0","0.0","101.0","11.0","11.0","11.0","1.0","0.0","1.0","12.0","0.0","100.0","2.0","1.0","2.0","11.0","1.0","2.0","1.0","10.0","1.0","1.0","1.0","2.0","1.0","111.0","11.0","2.0","1.0","1.0","2.0","2.0"
"Henkel (Charles Paul)","Sharon","110.0","1.0","11.0","12.0","13.0","12.0","0.0","101.0","1.0","11.0","2.0","101.0","4.0","2.0","12.0","11.0","1.0","3.0","111.0","10.0","112.0","111.0","2.0","5.0","110.0","14.0","110.0","1.0","1.0","1.0","3.0","14.0"
