Challenge,Org,Key Need 1,Key Need 2,Key Need 3,Key Need 4,Key Need 5,Key Need 6,Key Need 7,Key Need 8,Type,Stage,HQ Region,Geographies of Operation,Technology,Geo 1,Geo 2,Geo 3
2020 Health Security & Pandemics ,AHSA Platform,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Attracting board members / advisors,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,Hybrid of for-profit and nonprofit,Pilot,Sub-Saharan Africa,"['Sub-Saharan Africa', nan, nan]",Artificial Intelligence / Machine Learning,Sub-Saharan Africa,,
2020 Health Security & Pandemics ,Biometricsfor vaccine delivery,Other,Attracting board members / advisors,,,,,,,Nonprofit,Pilot,Europe and Central Asia,"['Sub-Saharan Africa', 'South Asia', '']",Artificial Intelligence / Machine Learning,Sub-Saharan Africa,South Asia,
2020 Health Security & Pandemics ,Jute-based biodegradable PPE,Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",,,,,,,Nonprofit,Prototype,South Asia,"['South Asia', nan, nan]",Biotechnology / Bioengineering,South Asia,,
2020 Health Security & Pandemics ,MapSights,Attracting board members / advisors,"Business model (e.g. product-market fit, strategy & development)","Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,,,For-Profit,Prototype,South Asia,"['South Asia', nan, nan]",Artificial Intelligence / Machine Learning,South Asia,,
2020 Health Security & Pandemics ,Mosquito-borne disease prevention,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",Attracting board members / advisors,,,,,,,For-Profit,Growth,North America,"['North America', 'South Asia', '']",Artificial Intelligence / Machine Learning,North America,South Asia,
2020 Health Security & Pandemics ,PENSA *660#,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",,,,,,For-Profit,Growth,Sub-Saharan Africa,"['Sub-Saharan Africa', nan, nan]",Software and Mobile Applications,Sub-Saharan Africa,,
2020 Health Security & Pandemics ,PODD,"Business model (e.g. product-market fit, strategy & development)",Product / Service Distribution (e.g. expanding client base),,,,,,,For-Profit,Growth,East Asia and Pacific,"['East Asia and Pacific', nan, nan]",Crowd Sourced Service / Social Networks,East Asia and Pacific,,
2020 Indigenous Communities Fellowship,EA Ecoversity,"Solution Technology (e.g. software or hardware, web development/design, data analysis, etc.)",,,,,,,,For-Profit,Pilot,North America,"['North America', nan, nan]",Ancestral Technology & Practices,North America,,
2020 Indigenous Communities Fellowship,Food from Fire,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,,,,,Not Registered,Prototype,North America,"['North America', nan, nan]",Ancestral Technology & Practices,North America,,
2020 Indigenous Communities Fellowship,Indigenous DC,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",,,,,Not Registered,Growth,North America,"['North America', nan, nan]",GIS and Geospatial Technology,North America,,
2020 Indigenous Communities Fellowship,Indigikitchen,Product / Service Distribution (e.g. expanding client base),,,,,,,,For-Profit,Growth,North America,"['North America', nan, nan]",Ancestral Technology & Practices,North America,,
2020 Indigenous Communities Fellowship,International Wakashan AI-Consortium,Legal or Regulatory Matters,"Funding and Financial (e.g. improving accounting practices, pitching to investors)","Solution Technology (e.g. software or hardware, web development/design, data analysis, etc.)",,,,,,Not Registered,Prototype,North America,"['North America', nan, nan]",Artificial Intelligence / Machine Learning,North America,,
2020 Indigenous Communities Fellowship,Protect Medicinal Plants,Other,,,,,,,,Not Registered,Prototype,North America,"['North America', nan, nan]",Ancestral Technology & Practices,North America,,
2020 Indigenous Communities Fellowship,ShockTalk,"Business model (e.g. product-market fit, strategy & development)",,,,,,,,Hybrid of for-profit and nonprofit,Prototype,North America,"['North America', nan, nan]",Ancestral Technology & Practices,North America,,
2020 Indigenous Communities Fellowship,Sicangu Online Marketplace,,,,,,,,,Nonprofit,Growth,North America,"['None', nan, nan]",,None,,
Good Jobs and Inclusive Entrepreneurship ,D2,Product / Service Distribution (e.g. expanding client base),"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",,,,,,,For-Profit,Pilot,South Asia,"['South Asia', nan, nan]",Crowd Sourced Service / Social Networks,South Asia,,
Good Jobs and Inclusive Entrepreneurship ,Humans inthe Loop,Attracting board members / advisors,"Funding and Financial (e.g. improving accounting practices, pitching to investors)","Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),,,,,Hybrid of for-profit and nonprofit,Growth,Europe and Central Asia,"['Europe and Central Asia', nan, nan]",Artificial Intelligence / Machine Learning,Europe and Central Asia,,
Good Jobs and Inclusive Entrepreneurship ,Nucleus,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,,,,,For-Profit,Growth,Sub-Saharan Africa,"['Middle East and North Africa', 'Europe and Central Asia', '']",Big Data,Middle East and North Africa,Europe and Central Asia,
Good Jobs and Inclusive Entrepreneurship ,SOLshare,"Funding and Financial (e.g. improving accounting practices, pitching to investors)","Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",,,,,,,For-Profit,Growth,South Asia,"['South Asia', nan, nan]",Artificial Intelligence / Machine Learning,South Asia,,
Good Jobs and Inclusive Entrepreneurship ,Someone Somewhere,Attracting board members / advisors,"Funding and Financial (e.g. improving accounting practices, pitching to investors)","Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),,,,,For-Profit,Growth,Latin America and the Caribbean,"['Latin America and the Caribbean', 'Latin America and the Caribbean', '']",Ancestral Technology & Practices,Latin America and the Caribbean,Latin America and the Caribbean,
