Challenge,Org,Key Need 1,Key Need 2,Key Need 3,Key Need 4,Key Need 5,Key Need 6,Key Need 7,Key Need 8,Type,Stage,HQ Region,Technology,Geo 1,Geo 2,Geo 3
 Health Security & Pandemics ,AHSA Platform,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Attracting board members / advisors,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,Hybrid of for-profit and nonprofit,Pilot,Sub-Saharan Africa,Artificial Intelligence / Machine Learning,Sub-Saharan Africa,,
 Health Security & Pandemics ,Biometricsfor vaccine delivery,Other,Attracting board members / advisors,,,,,,,Nonprofit,Pilot,Europe and Central Asia,Artificial Intelligence / Machine Learning,Sub-Saharan Africa,South Asia,
 Health Security & Pandemics ,Jute-based biodegradable PPE,Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",,,,,,,Nonprofit,Prototype,South Asia,Biotechnology / Bioengineering,South Asia,,
 Health Security & Pandemics ,MapSights,Attracting board members / advisors,"Business model (e.g. product-market fit, strategy & development)","Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,,,For-Profit,Prototype,South Asia,Artificial Intelligence / Machine Learning,South Asia,,
 Health Security & Pandemics ,Mosquito-borne disease prevention,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",Attracting board members / advisors,,,,,,,For-Profit,Growth,North America,Artificial Intelligence / Machine Learning,North America,South Asia,
 Health Security & Pandemics ,PENSA *660#,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",,,,,,For-Profit,Growth,Sub-Saharan Africa,Software and Mobile Applications,Sub-Saharan Africa,,
 Health Security & Pandemics ,PODD,"Business model (e.g. product-market fit, strategy & development)",Product / Service Distribution (e.g. expanding client base),,,,,,,For-Profit,Growth,East Asia and Pacific,Crowd Sourced Service / Social Networks,East Asia and Pacific,,
 Indigenous Communities Fellowship,EA Ecoversity,"Solution Technology (e.g. software or hardware, web development/design, data analysis, etc.)",,,,,,,,For-Profit,Pilot,North America,Ancestral Technology & Practices,North America,,
 Indigenous Communities Fellowship,Food from Fire,"Funding and Financial (e.g. improving accounting practices, pitching to investors)",,,,,,,,Not Registered,Prototype,North America,Ancestral Technology & Practices,North America,,
 Indigenous Communities Fellowship,Indigenous DC,"Marketing, Media, and Exposure (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",,,,,Not Registered,Growth,North America,GIS and Geospatial Technology,North America,,
 Indigenous Communities Fellowship,Indigikitchen,Product / Service Distribution (e.g. expanding client base),,,,,,,,For-Profit,Growth,North America,Ancestral Technology & Practices,North America,,
 Indigenous Communities Fellowship,International Wakashan AI-Consortium,Legal or Regulatory Matters,"Funding and Financial (e.g. improving accounting practices, pitching to investors)","Solution Technology (e.g. software or hardware, web development/design, data analysis, etc.)",,,,,,Not Registered,Prototype,North America,Artificial Intelligence / Machine Learning,North America,,
 Indigenous Communities Fellowship,Protect Medicinal Plants,Other,,,,,,,,Not Registered,Prototype,North America,Ancestral Technology & Practices,North America,,
 Indigenous Communities Fellowship,ShockTalk,"Business model (e.g. product-market fit, strategy & development)",,,,,,,,Hybrid of for-profit and nonprofit,Prototype,North America,Ancestral Technology & Practices,North America,,
