"Partners\Solvers","","AIR-INK: Air-Pollution to ink","Aira","Algramo-Catalyzing Reusable Packaging","Blue Sky Analytics","CareMother","change:WATER Labs' iThrone: a waste-shrinking toilet","Dost Education","EarlyBird","Elpis Solar","Faircap Clean Water","Khushi Baby","Kinedu","Living First Languages Platform","Mobile Village-Based Rehabilitation-Initiative","MycoTech","OmniVis","OneSky Caregiver Training","POKET","Queen of Raw","RAAJI","BioCellection","Renewal Workshop","RETOS","RevelaGov","Rheaply","Salauno: Eye care for all","Shape-Up","Supercivicos app","Tabshoura Tiny Thinkers","The Future is Offline","WheeLog!","Xilinat"
"","","Circular Economy","Community-Driven Innovation","Circular Economy","Healthy Cities","Healthy Cities","Healthy Cities","Early Childhood Development","Early Childhood Development","Community-Driven Innovation","Healthy Cities","Early Childhood Development","Early Childhood Development","Early Childhood Development","Early Childhood Development","Circular Economy","Healthy Cities","Early Childhood Development","Community-Driven Innovation","Circular Economy","Healthy Cities","Circular Economy","Circular Economy","Community-Driven Innovation","Community-Driven Innovation","Circular Economy","Healthy Cities","Healthy Cities","Community-Driven Innovation","Early Childhood Development","Community-Driven Innovation","Community-Driven Innovation","Circular Economy"
"Aditya Birla Group","Community-Driven Innovation,Circular Economy","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0"
"BMW Foundation Herbert Quandt","Community-Driven Innovation,Healthy Cities,Circular Economy","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0"
"Buenos Aires Innovation Park (City of Buenos Aires Government)","Healthy Cities","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"C L Sandberg & Associates","Healthy Cities","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Capital One","Community-Driven Innovation","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Classroom Inc","Community-Driven Innovation","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0"
"Corning Capital","Circular Economy","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Covestro LLC","Circular Economy","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Danaher","Healthy Cities,Early Childhood Development","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0"
"DIGITAL CITIZEN FUND","Circular Economy","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Draper Richards Kaplan Foundation","Healthy Cities,Early Childhood Development,Circular Economy","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0"
"Fannie Mae","Community-Driven Innovation,Healthy Cities,Early Childhood Development","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0"
"Gary Community Investments","Early Childhood Development","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"Grupo Salinas","Circular Economy","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Heart Institute of the Caribbean","Healthy Cities","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Henkel (Charles Paul)","Healthy Cities,Circular Economy","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
