"Support Category","Support Category Specific","","Member List","",""
"Business Model","Determining product-market fit","","Americares","Sub-Saharan Africa; Europe and Central Asia; Latin America and the Caribbean; Middle East and North Africa; US and Canada; East and Southeast Asia","Scale; Pilot; Growth"
"","Developing / improving business strategy","","Antropia ESSEC","Sub-Saharan Africa; Europe and Central Asia; Middle East and North Africa","Prototype; Pilot; Growth; Scale"
"Distribution","Delivering products / services","","Atlassian Foundation International","North America; Sub-Saharan Africa; Europe and Central Asia; Latin America and the Caribbean; Middle East and North Africa; US and Canada; East and Southeast Asia; Oceania","Pilot; Growth; Scale"
"","Expanding client base","","Australia Department of Foreign Affairs and Trade","East and Southeast Asia; Oceania","Prototype; Pilot; Growth; Scale"
"Financial","Improving accounting practices","","Bertelsmann Foundation","North America; Europe and Central Asia",""
"","Pitching to investors or grantors","","Best Buy","North America; US and Canada","Pilot; Growth; Scale"
"","Projecting burn rate","","Bill & Melinda Gates Foundation","",""
"Human Capital","Attracting board members / advisors","","BMW Foundation","",""
"","Sourcing talent","","Business Finland","",""
"Legal","Legal support / advice","","Capital One","US and Canada","Idea"
"Monitoring and Evaluation","Collecting / using data","","Care 2 Communities","Sub-Saharan Africa; Latin America and the Caribbean; East and Southeast Asia",""
"","Measuring impact","","Cassiopeia Foundation, INC","Latin America and the Caribbean; US and Canada; East and Southeast Asia","Idea; Prototype; Pilot; Growth; Scale"
"Other","Other","","Cast Collective","",""
"Public Relations","Designing branding / marketing strategy","","Cisco Systems, Inc.","Sub-Saharan Africa; Europe and Central Asia; Latin America and the Caribbean; Middle East and North Africa; US and Canada; East and Southeast Asia; Oceania","Scale; Pilot; Idea; Prototype; Growth"
"","Growing exposure through speaking opportunities","","Classroom Inc.","North America; Oceania","Idea; Prototype; Pilot; Growth; Scale"
"","Leveraging social media / global media","","Closed Loop Partners","US and Canada","Pilot; Prototype; Growth"
"Technology","Developing hardware","","Compassion International","Sub-Saharan Africa; Latin America and the Caribbean",""
"","Developing software / user interface / user experience","","CORNING CAPITAL CORP","US and Canada","Pilot; Prototype; Growth"
"","","","Danaher","Sub-Saharan Africa; US and Canada","Pilot; Growth; Scale"
"","","","Dubai Cares","Sub-Saharan Africa; Latin America and the Caribbean; Middle East and North Africa; East and Southeast Asia; Oceania","Scale; Pilot; Growth"
