"","Org","Geo 1","Geo 2","Geo 3","Geo 4","Geo 5","Geo 6","Geo 7","Stage","Key Need 1","Key Need 2","Key Need 3","Key Need 4","Key Need 5","Key Need 6","Key Need 7","Challenge","Technology"
"0.0","AIR-INK: Air-Pollution to ink","South Asia","US and Canada","","","","","","Growth","Technology","","","","","","","Circular Economy","Biomimicry; Internet of Things"
"1.0","Algramo-Catalyzing Reusable Packaging","Latin America and the Caribbean","","","","","","","Growth","Other","Business model","","","","","","Circular Economy","Behavioral Technology; Big Data; Internet of Things"
"2.0","BioCellection","US and Canada","","","","","","","Pilot","Technology","Distribution","Legal","Marketing, Media, and Exposure","","","","Circular Economy","Biotechnology / Bioengineering"
"3.0","Mycotech","East and Southeast Asia","","","","","","","Pilot","Distribution","Business model","Marketing, Media, and Exposure","","","","","Circular Economy","Materials Science"
"4.0","Queen of Raw","US and Canada","Europe and Central Asia","South Asia","East and Southeast Asia","","","","Pilot","Distribution","Technology","Financial","","","","","Circular Economy","Artificial Intelligence / Machine Learning; Big Data; Blockchain"
"5.0","Renewal Workshop","US and Canada","","","","","","","Growth","Business model","","","","","","","Circular Economy","Big Data"
"6.0","Rheaply","US and Canada","","","","","","","Growth","Other","Distribution","","","","","","Circular Economy","Big Data"
"7.0","Xilinat","Latin America and the Caribbean","","","","","","","Pilot","Other","Legal","Monitoring & Evaluation","Business model","Financial","Board Members or Advisors","","Circular Economy","Biotechnology / Bioengineering"
"8.0","Aira","US and Canada","","","","","","","Scale","Financial","","","","","","","Community-Driven Innovation","Artificial Intelligence / Machine Learning"
"9.0","Elpis Solar","Sub-Saharan Africa","Europe and Central Asia","","","","","","Pilot","Financial","Distribution","Technology","Other","","","","Community-Driven Innovation","Big Data; Internet of Things"
"10.0","POKET","Sub-Saharan Africa","","","","","","","Pilot","Marketing, Media, and Exposure","Financial","Distribution","Technology","Monitoring & Evaluation","Talent Recruitment","Board Members or Advisors","Community-Driven Innovation","Artificial Intelligence / Machine Learning; Behavioral Technology; Big Data; Blockchain"
"11.0","RETOS","Latin America and the Caribbean","","","","","","","Pilot","Other","Marketing, Media, and Exposure","Business model","Technology","","","","Community-Driven Innovation","Artificial Intelligence / Machine Learning; Behavioral Technology"
"12.0","RevelaGov","Latin America and the Caribbean","","","","","","","Pilot","Marketing, Media, and Exposure","Legal","Board Members or Advisors","Technology","Business model","Financial","","Community-Driven Innovation","Artificial Intelligence / Machine Learning; Big Data"
"13.0","Supercivicos app","Latin America and the Caribbean","","","","","","","Pilot","Business model","Technology","Distribution","","","","","Community-Driven Innovation","Artificial Intelligence / Machine Learning; Big Data; Virtual Reality/Augmented Reality"
"14.0","The Future is Offline","Middle East and North Africa","","","","","","","Growth","Financial","Technology","Distribution","Monitoring & Evaluation","","","","Community-Driven Innovation","Internet of Things"
